,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1695009238402,1.189,0.0,0,0,COMMIT,12236,1695009238400.811
3,1695009527165,1.456,0.09,1,438,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 25072\
              AND OL_O_ID >= 25052\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",12245,1695009527163.544
4,1695009587989,1.058,0.0,0,0,COMMIT,12243,1695009587987.942
5,1695009588673,1.358,0.0,0,0,COMMIT,12247,1695009588671.642
6,1695009680067,1.12,0.0,0,0,COMMIT,12252,1695009680065.88
7,1695009811578,1.242,0.0,0,0,COMMIT,12253,1695009811576.758
8,1695008871309,1.279,0.0,0,0,COMMIT,12258,1695008871307.721
12,1695009027329,1.476,0.0,0,0,COMMIT,12267,1695009027327.524
13,1695009053660,1.08,0.0,0,0,COMMIT,12268,1695009053658.92
14,1695009251369,1.013,0.0,0,0,COMMIT,12275,1695009251367.987
15,1695009390914,1.132,0.0,0,0,COMMIT,12281,1695009390912.868
16,1695008852420,1.325,0.0,0,0,COMMIT,12294,1695008852418.675
17,1695008859351,1.112,0.0,0,0,COMMIT,12293,1695008859349.888
18,1695008945095,1.109,0.0,0,0,COMMIT,12299,1695008945093.891
19,1695008954258,1.437,0.083,1,388,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 5\
              AND OL_O_ID < 25132\
              AND OL_O_ID >= 25112\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",12302,1695008954256.563
24,1695009001118,1.321,0.0,0,0,COMMIT,12298,1695009001116.679
26,1695009099626,3.972,0.0,0,0,COMMIT,12306,1695009099622.028
27,1695009105206,1.044,0.0,0,0,COMMIT,12307,1695009105204.956
28,1695009148486,2.035,0.0,0,0,COMMIT,12308,1695009148483.965
29,1695009218613,1.124,0.0,0,0,COMMIT,12311,1695009218611.876
30,1695009313297,1.083,0.0,0,0,COMMIT,12309,1695009313295.917
31,1695009405332,1.048,0.0,0,0,COMMIT,12317,1695009405330.952
32,1695009410939,4.644,0.0,0,0,COMMIT,12316,1695009410934.356
33,1695009505489,1.076,0.0,0,0,COMMIT,12321,1695009505487.924
34,1695009553448,1.067,0.0,0,0,COMMIT,12323,1695009553446.933
35,1695009694539,1.058,0.0,0,0,COMMIT,12322,1695009694537.942
36,1695009772025,1.016,0.0,0,0,COMMIT,12324,1695009772023.984
37,1695009797642,1.43,0.098,1,422,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 9\
              AND OL_O_ID < 25355\
              AND OL_O_ID >= 25335\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",12331,1695009797640.57
38,1695008857672,1.148,0.0,0,0,COMMIT,12332,1695008857670.852
39,1695008913482,1.186,0.0,0,0,COMMIT,12326,1695008913480.814
40,1695008950584,1.004,0.0,0,0,COMMIT,12337,1695008950582.996
41,1695008955721,1.127,0.0,0,0,COMMIT,12333,1695008955719.873
43,1695008981516,1.018,0.0,0,0,COMMIT,12338,1695008981514.982
48,1695009052083,1.114,0.0,0,0,COMMIT,12341,1695009052081.886
49,1695009066029,1.018,0.0,0,0,COMMIT,12327,1695009066027.982
50,1695009102746,1.752,0.086,1,434,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 25397\
              AND OL_O_ID >= 25377\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",12344,1695009102744.248
51,1695009126165,1.181,0.0,0,0,COMMIT,12335,1695009126163.819
52,1695009209344,1.048,0.0,0,0,ROLLBACK,12342,1695009209342.952
53,1695009277138,1.012,0.0,0,0,COMMIT,12350,1695009277136.988
54,1695009486539,1.444,0.0,0,0,COMMIT,12349,1695009486537.556
55,1695009502877,1.037,0.0,0,0,COMMIT,12348,1695009502875.963
