,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1695003901953,1.431,0.0,0,0,COMMIT,23865,1695003901951.569
6,1695003966809,1.004,0.0,0,0,COMMIT,23868,1695003966807.996
8,1695004024369,1.055,0.0,0,0,COMMIT,23867,1695004024367.945
9,1695004064915,1.004,0.0,0,0,COMMIT,23874,1695004064913.996
10,1695004103511,1.014,0.0,0,0,COMMIT,23876,1695004103509.986
11,1695004164593,1.051,0.0,0,0,COMMIT,23878,1695004164591.949
12,1695004352451,1.371,0.0,0,0,COMMIT,23884,1695004352449.629
13,1695004353231,1.354,0.0,0,0,COMMIT,23880,1695004353229.646
14,1695004472818,1.089,0.0,0,0,COMMIT,23889,1695004472816.911
15,1695004515212,1.074,0.0,0,0,COMMIT,23883,1695004515210.926
16,1695004517255,2.547,0.216,1,420,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 9\
              AND OL_O_ID < 24596\
              AND OL_O_ID >= 24576\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",23892,1695004517252.453
17,1695004613637,1.315,0.0,0,0,COMMIT,23886,1695004613635.685
18,1695004623199,1.215,0.06,0,1,"UPDATE stock SET S_QUANTITY = 34, S_YTD = 63, S_ORDER_CNT = 12, S_REMOTE_CNT = 0 WHERE S_I_ID = 61158 AND S_W_ID = 3",23888,1695004623197.785
19,1695004685635,1.077,0.182,1,1,"SELECT O_ID, O_CARRIER_ID, O_ENTRY_D FROM orders WHERE O_W_ID = 1 AND O_D_ID = 2 AND O_C_ID = 2397 ORDER BY O_ID DESC LIMIT 1",23898,1695004685633.923
20,1695004749394,1.087,0.0,0,0,COMMIT,23899,1695004749392.913
25,1695003959224,2.327,0.071,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_07 FROM stock WHERE S_I_ID = 3136 AND S_W_ID = 2",23904,1695003959221.673
