,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1694849813002,1.121,0.0,0,0,COMMIT,1223,1694849813000.879
3,1694849903613,1.95,0.087,1,426,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 1\
              AND OL_O_ID < 21103\
              AND OL_O_ID >= 21083\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",1227,1694849903611.05
4,1694849949853,1.129,0.0,0,0,COMMIT,1228,1694849949851.871
5,1694849988246,1.197,0.0,0,0,COMMIT,1229,1694849988244.803
6,1694850134451,1.058,0.0,0,0,COMMIT,1233,1694850134449.942
7,1694850260432,1.057,0.0,0,0,COMMIT,1237,1694850260430.943
8,1694849522070,1.142,0.0,0,0,COMMIT,1245,1694849522068.858
11,1694849684039,1.096,0.0,0,0,COMMIT,1247,1694849684037.904
13,1694849695051,1.502,0.086,1,412,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 8\
              AND OL_O_ID < 21301\
              AND OL_O_ID >= 21281\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",1253,1694849695049.498
14,1694849742741,1.707,0.084,1,356,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 2\
              AND OL_O_ID < 21375\
              AND OL_O_ID >= 21355\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",1254,1694849742739.293
15,1694849799301,1.246,0.0,0,0,COMMIT,1250,1694849799299.754
16,1694849904529,1.015,0.0,0,0,COMMIT,1248,1694849904527.985
17,1694849942775,1.142,0.0,0,0,COMMIT,1262,1694849942773.858
18,1694849986561,1.219,0.0,0,0,COMMIT,1264,1694849986559.781
19,1694850041100,1.008,0.0,0,0,COMMIT,1266,1694850041098.992
20,1694850178152,1.095,0.0,0,0,COMMIT,1271,1694850178150.905
21,1694850270165,1.03,0.0,0,0,COMMIT,1263,1694850270163.97
22,1694850320607,1.013,0.0,0,0,COMMIT,1275,1694850320605.987
23,1694850373256,1.124,0.0,0,0,COMMIT,1267,1694850373254.876
24,1694850484189,1.824,0.09,1,408,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 8\
              AND OL_O_ID < 20935\
              AND OL_O_ID >= 20915\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",1282,1694850484187.176
25,1694849560371,1.05,0.0,0,0,COMMIT,1283,1694849560369.95
26,1694849584756,1.226,0.0,0,0,COMMIT,1284,1694849584754.774
30,1694849859117,1.017,0.0,0,0,COMMIT,1299,1694849859115.983
31,1694849917813,1.018,0.0,0,0,COMMIT,1287,1694849917811.982
32,1694849965283,1.034,0.0,0,0,COMMIT,1285,1694849965281.966
33,1694850019265,1.014,0.0,0,0,COMMIT,1292,1694850019263.986
34,1694850304495,1.166,0.0,0,0,COMMIT,1317,1694850304493.834
35,1694850308136,1.116,0.0,0,0,COMMIT,1310,1694850308134.884
36,1694849587480,1.11,0.0,0,0,ROLLBACK,1326,1694849587478.89
39,1694850006548,2.2,0.086,1,390,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 20979\
              AND OL_O_ID >= 20959\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",1345,1694850006545.8
40,1694850058542,1.034,0.0,0,0,COMMIT,1347,1694850058540.966
41,1694850128532,1.134,0.0,0,0,COMMIT,1334,1694850128530.866
42,1694850269116,1.012,0.0,0,0,COMMIT,1354,1694850269114.988
43,1694850351175,1.337,0.0,0,0,COMMIT,1344,1694850351173.663
44,1694849592282,1.273,0.0,0,0,COMMIT,1358,1694849592280.727
45,1694849603671,1.323,0.095,1,384,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 3\
              AND OL_O_ID < 21457\
              AND OL_O_ID >= 21437\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",1367,1694849603669.677
48,1694849669083,1.946,0.088,1,386,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 10\
              AND OL_O_ID < 21281\
              AND OL_O_ID >= 21261\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",1369,1694849669081.054
49,1694849685064,1.02,0.0,0,0,COMMIT,1362,1694849685062.98
51,1694849701720,1.113,0.0,0,0,ROLLBACK,1363,1694849701718.887
52,1694849833977,1.676,0.088,1,394,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 3\
              AND OL_O_ID < 21065\
              AND OL_O_ID >= 21045\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",1378,1694849833975.324
53,1694849877079,1.075,0.0,0,0,ROLLBACK,1375,1694849877077.925
54,1694850025188,1.12,0.0,0,0,COMMIT,1383,1694850025186.88
55,1694850134395,1.016,0.0,0,0,COMMIT,1387,1694850134393.984
56,1694850378041,1.011,0.0,0,0,COMMIT,1392,1694850378039.989
57,1694849557341,1.09,0.0,0,0,COMMIT,1401,1694849557339.91
58,1694849619911,1.237,0.0,0,0,COMMIT,1405,1694849619909.763
62,1694849685354,2.301,0.0,0,0,COMMIT,1407,1694849685351.699
63,1694849693414,1.004,0.0,0,0,COMMIT,1402,1694849693412.996
65,1694849753482,1.062,0.0,0,0,COMMIT,1403,1694849753480.938
66,1694849783010,1.117,0.0,0,0,COMMIT,1410,1694849783008.883
67,1694849819043,1.042,0.0,0,0,COMMIT,1411,1694849819041.958
68,1694849876357,1.182,0.0,0,0,COMMIT,1409,1694849876355.818
69,1694849951947,1.167,0.0,0,0,COMMIT,1417,1694849951945.833
70,1694849996037,1.049,0.0,0,0,COMMIT,1412,1694849996035.951
71,1694850043724,1.347,0.0,0,0,COMMIT,1415,1694850043722.653
72,1694850132836,1.153,0.0,0,0,COMMIT,1423,1694850132834.847
73,1694850216214,1.108,0.0,0,0,COMMIT,1425,1694850216212.892
74,1694849573816,1.052,0.0,0,0,COMMIT,1439,1694849573814.948
75,1694849590120,1.378,0.108,1,368,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 6\
              AND OL_O_ID < 21154\
              AND OL_O_ID >= 21134\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",1441,1694849590118.622
76,1694849645845,1.426,0.0,0,0,COMMIT,1433,1694849645843.574
77,1694849667429,1.011,0.0,0,0,COMMIT,1435,1694849667427.989
78,1694849669487,1.179,0.0,0,0,COMMIT,1442,1694849669485.821
80,1694849674930,2.989,0.0,0,0,COMMIT,1443,1694849674927.011
83,1694849729519,1.097,0.0,0,0,COMMIT,1436,1694849729517.903
84,1694849916079,1.537,0.077,1,392,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 6\
              AND OL_O_ID < 21181\
              AND OL_O_ID >= 21161\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",1454,1694849916077.463
85,1694849963062,1.204,0.0,0,0,COMMIT,1448,1694849963060.796
86,1694850000788,1.053,0.0,0,0,COMMIT,1456,1694850000786.947
87,1694850088552,1.089,0.0,0,0,COMMIT,1459,1694850088550.911
88,1694850150342,1.073,0.0,0,0,COMMIT,1461,1694850150340.927
89,1694850189984,1.026,0.0,0,0,COMMIT,1455,1694850189982.974
90,1694850228944,1.07,0.0,0,0,COMMIT,1465,1694850228942.93
91,1694850432289,1.169,0.0,0,0,COMMIT,1470,1694850432287.831
92,1694850504958,1.073,0.0,0,0,COMMIT,1475,1694850504956.927
93,1694849643144,1.058,0.0,0,0,COMMIT,1474,1694849643142.942
96,1694849696535,5.324,0.0,0,0,COMMIT,1477,1694849696529.676
98,1694849708832,3.2,0.0,0,0,COMMIT,1485,1694849708828.8
99,1694849744564,1.043,0.0,0,0,COMMIT,1486,1694849744562.957
100,1694849826387,1.003,0.0,0,0,COMMIT,1489,1694849826385.997
101,1694850040049,1.453,0.0,0,0,COMMIT,1490,1694850040047.547
102,1694850091144,1.115,0.0,0,0,COMMIT,1491,1694850091142.885
103,1694850103476,1.082,0.0,0,0,COMMIT,1493,1694850103474.918
104,1694850293079,1.21,0.064,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (21185, '01', 4, 3, 83987, 4, '2023-09-16 15:32:06.702072', 5, 84.20, 'speD4S8ZETMhTcStWHBEjxeG')",1504,1694850293077.79
